date,home_team,score,away_team
26-10-2021,Villarreal,3 - 3,Cadiz
31-10-2021,Cadiz,1 - 1,Mallorca
05-11-2021,Ath Bilbao,0 - 1,Cadiz
21-11-2021,Getafe,4 - 0,Cadiz
28-11-2021,Cadiz,1 - 4,Ath Madrid
05-12-2021,Elche,3 - 1,Cadiz
13-12-2021,Cadiz,1 - 1,Granada
19-12-2021,Real Madrid,0 - 0,Cadiz
03-01-2022,Cadiz,0 - 1,Sevilla
09-01-2022,Osasuna,2 - 0,Cadiz
18-01-2022,Cadiz,2 - 2,Espanol
22-01-2022,Levante,0 - 2,Cadiz
05-02-2022,Mallorca,2 - 1,Cadiz
12-02-2022,Cadiz,? - ?,Celta
15-08-2021,Celta,1 - 2,Ath Madrid
23-08-2021,Osasuna,0 - 0,Celta
28-08-2021,Celta,0 - 1,Ath Bilbao
12-09-2021,Real Madrid,5 - 2,Celta
17-09-2021,Celta,1 - 2,Cadiz
21-09-2021,Levante,0 - 2,Celta
27-09-2021,Celta,1 - 0,Granada
03-10-2021,Elche,1 - 0,Celta
17-10-2021,Celta,0 - 1,Sevilla
25-10-2021,Getafe,0 - 3,Celta
28-10-2021,Celta,0 - 2,Sociedad
01-11-2021,Vallecano,0 - 0,Celta
06-11-2021,Celta,3 - 3,Barcelona
20-11-2021,Celta,1 - 1,Villarreal
27-11-2021,Alaves,1 - 2,Celta
05-12-2021,Celta,1 - 2,Valencia
10-12-2021,Mallorca,0 - 0,Celta
17-12-2021,Celta,3 - 1,Espanol
02-01-2022,Betis,0 - 2,Celta
08-01-2022,Sociedad,1 - 0,Celta
19-01-2022,Celta,2 - 0,Osasuna
22-01-2022,Sevilla,2 - 2,Celta
05-02-2022,Celta,2 - 0,Vallecano
12-02-2022,Cadiz,? - ?,Celta
16-08-2021,Elche,0 - 0,Ath Bilbao
22-08-2021,Ath Madrid,1 - 0,Elche
28-08-2021,Elche,1 - 1,Sevilla
13-09-2021,Getafe,0 - 1,Elche
18-09-2021,Elche,1 - 1,Levante
22-09-2021,Villarreal,4 - 1,Elche
26-09-2021,Sociedad,1 - 0,Elche
03-10-2021,Elche,1 - 0,Celta
17-10-2021,Vallecano,2 - 1,Elche
23-10-2021,Elche,2 - 2,Espanol
26-10-2021,Alaves,1 - 0,Elche
30-10-2021,Elche,1 - 2,Real Madrid
07-11-2021,Mallorca,2 - 2,Elche
21-11-2021,Elche,0 - 3,Betis
29-11-2021,Osasuna,1 - 1,Elche
05-12-2021,Elche,3 - 1,Cadiz
11-12-2021,Valencia,2 - 1,Elche
18-12-2021,Barcelona,3 - 2,Elche
02-01-2022,Elche,0 - 0,Granada
10-01-2022,Espanol,1 - 2,Elche
16-01-2022,Elche,1 - 0,Villarreal
23-01-2022,Real Madrid,2 - 2,Elche
05-02-2022,Elche,3 - 1,Alaves
11-02-2022,Sevilla,? - ?,Elche
14-08-2021,Osasuna,0 - 0,Espanol
21-08-2021,Espanol,0 - 0,Villarreal
27-08-2021,Mallorca,1 - 0,Espanol
12-09-2021,Espanol,1 - 2,Ath Madrid
19-09-2021,Betis,2 - 2,Espanol
22-09-2021,Espanol,1 - 0,Alaves
25-09-2021,Sevilla,2 - 0,Espanol
03-10-2021,Espanol,2 - 1,Real Madrid
18-10-2021,Espanol,2 - 0,Cadiz
23-10-2021,Elche,2 - 2,Espanol
26-10-2021,Espanol,1 - 1,Ath Bilbao
31-10-2021,Getafe,2 - 1,Espanol
06-11-2021,Espanol,2 - 0,Granada
20-11-2021,Barcelona,1 - 0,Espanol
28-11-2021,Espanol,1 - 0,Sociedad
05-12-2021,Vallecano,1 - 0,Espanol
11-12-2021,Espanol,4 - 3,Levante
17-12-2021,Celta,3 - 1,Espanol
31-12-2021,Valencia,1 - 2,Espanol
10-01-2022,Espanol,1 - 2,Elche
18-01-2022,Cadiz,2 - 2,Espanol
21-01-2022,Espanol,1 - 4,Betis
07-02-2022,Ath Bilbao,2 - 1,Espanol
13-02-2022,Espanol,? - ?,Barcelona
13-08-2021,Valencia,1 - 0,Getafe
23-08-2021,Getafe,0 - 1,Sevilla
29-08-2021,Barcelona,2 - 1,Getafe
13-09-2021,Getafe,0 - 1,Elche
18-09-2021,Vallecano,3 - 0,Getafe
21-09-2021,Getafe,1 - 2,Ath Madrid
26-09-2021,Betis,2 - 0,Getafe
03-10-2021,Getafe,1 - 1,Sociedad
16-10-2021,Levante,0 - 0,Getafe
