title,author,length
The Hard Thing About Hard Things,By: Ben Horowitz,Length: 7 hrs and 57 mins
Voyager,By: Diana Gabaldon,Length: 43 hrs and 46 mins
1491,By: Charles C. Mann,Length: 16 hrs and 17 mins
The Riviera House,By: Natasha Lester,Length: 14 hrs and 35 mins
Crowbones,By: Anne Bishop,Length: 14 hrs
The Spark,By: Vi Keeland,Length: 9 hrs and 28 mins
Magpie Murders,By: Anthony Horowitz,Length: 15 hrs and 48 mins
Long Walk to Freedom,By: Nelson Mandela,Length: 27 hrs and 39 mins
A Short History of Nearly Everything,By: Bill Bryson,Length: 18 hrs and 13 mins
Eldest,By: Christopher Paolini,Length: 23 hrs and 30 mins
Cleaning Up Your Mental Mess,By: Dr. Caroline Leaf,Length: 8 hrs and 4 mins
Unprotected,By: Billy Porter,Length: 12 hrs and 22 mins
Circe,By: Madeline Miller,Length: 12 hrs and 8 mins
Beloved,By: Toni Morrison,Length: 12 hrs and 3 mins
Being Mortal,By: Atul Gawande,Length: 9 hrs and 3 mins
Year of Yes,By: Shonda Rhimes,Length: 7 hrs and 4 mins
Phantom Game,By: Christine Feehan,Length: 11 hrs and 15 mins
Tom Clancy Zero Hour,By: Don Bentley,Length: 11 hrs and 30 mins
Rezoom,"By: Susan Peirce Thompson PhD, Everett Considine",Length: 9 hrs and 58 mins
The Ramona Quimby Audio Collection,"By: Beverly Cleary, Tracy Dockray",Length: 18 hrs and 56 mins
Debt - Updated and Expanded,By: David Graeber,Length: 17 hrs and 48 mins
Reckless Girls,By: Rachel Hawkins,Length: 7 hrs and 43 mins
To Paradise,By: Hanya Yanagihara,Length: 28 hrs and 47 mins
Napoleon Hill's Outwitting the Devil,"By: Napoleon Hill, Sharon L. Lechter - editor",Length: 5 hrs and 51 mins
East of Eden,By: John Steinbeck,Length: 25 hrs and 23 mins
Both/And,By: Huma Abedin,Length: 21 hrs and 47 mins
Breath,By: James Nestor,Length: 7 hrs and 18 mins
The Thursday Murder Club,By: Richard Osman,Length: 12 hrs and 26 mins
Greenwich Park,By: Katherine Faulkner,Length: 10 hrs and 13 mins
I'll Start Again Monday,By: Lysa TerKeurst,Length: 3 hrs and 35 mins
Endurance,By: Alfred Lansing,Length: 10 hrs and 20 mins
Based on a True Story,By: Norm Macdonald,Length: 7 hrs and 18 mins
The Demon-Haunted World,By: Carl Sagan,Length: 17 hrs and 23 mins
The Secret History,By: Donna Tartt,Length: 22 hrs and 3 mins
Getting to Neutral,"By: Trevor Moawad, Andy Staples",Length: 6 hrs and 18 mins
The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 48 mins
Crucial Conversations (Third Edition),"By: Joseph Grenny, Kerry Patterson, Ron McMillan, Al Switzler, Emily Gregory",Length: 7 hrs and 45 mins
Daisy Jones & The Six,By: Taylor Jenkins Reid,Length: 9 hrs and 3 mins
Jane and the Year Without a Summer,By: Stephanie Barron,Length: 9 hrs and 34 mins
Babylon's Ashes,By: James S. A. Corey,Length: 19 hrs and 58 mins
The Dark Tower,By: Stephen King,Length: 28 hrs and 50 mins
The Wish,By: Nicholas Sparks,Length: 11 hrs and 42 mins
Truth and Other Lies: A Loki Norse Fantasy (The Nine Worlds Rising Book 1),By: Lyra Wolf,Length: 8 hrs and 7 mins
A Little Life,By: Hanya Yanagihara,Length: 32 hrs and 51 mins
"Guns, Germs and Steel",By: Jared Diamond,Length: 16 hrs and 20 mins
Quiet,By: Susan Cain,Length: 10 hrs and 39 mins
The Giver,By: Lois Lowry,Length: 4 hrs and 49 mins
The Seat of the Soul,By: Gary Zukav,Length: 10 hrs and 12 mins
The Creature from Jekyll Island,By: G. Edward Griffin,Length: 24 hrs and 21 mins
Genghis Khan and the Making of the Modern World,By: Jack Weatherford,Length: 14 hrs and 20 mins
Pachinko,By: Min Jin Lee,Length: 18 hrs and 16 mins
Divergent,By: Veronica Roth,Length: 11 hrs and 11 mins
Wonder,By: R. J. Palacio,Length: 8 hrs and 6 mins
The Tender Bar,By: J. R. Moehringer,Length: 16 hrs and 16 mins
Tell Yourself a Better Lie,By: Marisa Peer,Length: 8 hrs and 36 mins
Untamed,By: Glennon Doyle,Length: 8 hrs and 22 mins
The Smuggler's Chase,By: Cap Daniels,Length: 9 hrs and 21 mins
Brisingr,By: Christopher Paolini,Length: 29 hrs and 34 mins
Atlas Shrugged,By: Ayn Rand,Length: 62 hrs and 56 mins
"Listener's Audio Bible - New International Version, NIV: Complete Bible",By: Zondervan,Length: 75 hrs and 14 mins
American Gods: The Tenth Anniversary Edition (A Full Cast Production),By: Neil Gaiman,Length: 19 hrs and 39 mins
For We Are Many,By: Dennis E. Taylor,Length: 8 hrs and 59 mins
Lady February,By: Dakota Krout,Length: 9 hrs and 12 mins
The Other Family,By: Wendy Corsi Staub,Length: 9 hrs and 7 mins
The Power of Now,By: Eckhart Tolle,Length: 7 hrs and 37 mins
Becoming,By: Michelle Obama,Length: 19 hrs and 3 mins
Gone Girl,By: Gillian Flynn,Length: 19 hrs and 11 mins
Shantaram,By: Gregory David Roberts,Length: 42 hrs and 59 mins
World War Z: The Complete Edition,By: Max Brooks,Length: 12 hrs and 9 mins
A Slow Fire Burning,By: Paula Hawkins,Length: 9 hrs and 19 mins
Why Has Nobody Told Me This Before?,By: Julie Smith,Length: 7 hrs and 16 mins
Blood in the Garden,By: Chris Herring,Length: 11 hrs and 3 mins
Criminal Mischief,By: Stuart Woods,Length: 7 hrs and 5 mins
The Handmaid's Tale,By: Margaret Atwood,Length: 11 hrs and 1 min
Children of Time,By: Adrian Tchaikovsky,Length: 16 hrs and 31 mins
One Second After,By: William R. Forstchen,Length: 13 hrs and 17 mins
Olga Dies Dreaming,By: Xochitl Gonzalez,Length: 11 hrs and 22 mins
Attached,"By: Amir Levine, Rachel Heller",Length: 7 hrs and 6 mins
The 10X Rule,By: Grant Cardone,Length: 7 hrs and 24 mins
Red Rising,By: Pierce Brown,Length: 16 hrs and 12 mins
Persepolis Rising,By: James S. A. Corey,Length: 20 hrs and 34 mins
Words of Radiance,By: Brandon Sanderson,Length: 48 hrs and 13 mins
The Art of War,By: Sun Tzu,Length: 1 hr and 7 mins
Undaunted Courage,By: Stephen E. Ambrose,Length: 21 hrs and 40 mins
He Who Fights with Monsters 3,"By: Shirtaloon, Travis Deverell",Length: 24 hrs and 39 mins
A Game of Fear,By: Charles Todd,Length: 10 hrs and 15 mins
The Alice Network,By: Kate Quinn,Length: 15 hrs and 7 mins
The Blade Itself,By: Joe Abercrombie,Length: 22 hrs and 15 mins
Fields' Guide to Fog,By: Julie Mulhern,Length: 7 hrs and 39 mins
Band of Brothers,By: Stephen E. Ambrose,Length: 12 hrs and 37 mins
Napoleon,By: Andrew Roberts,Length: 32 hrs and 56 mins
An Echo in the Bone,By: Diana Gabaldon,Length: 45 hrs and 59 mins
The Great Influenza,By: John M. Barry,Length: 19 hrs and 26 mins
Go Tell the Bees That I Am Gone,By: Diana Gabaldon,Length: 49 hrs and 27 mins
The Girl in the Mist,By: Kristen Ashley,Length: 12 hrs and 22 mins
Morning Star,By: Pierce Brown,Length: 21 hrs and 50 mins
Put Me in Detention,By: Meghan Quinn,Length: 14 hrs and 4 mins
End of Days,By: Brad Taylor,Length: 12 hrs and 10 mins
Memory's Legion,By: James S. A. Corey,Length: 12 hrs
Come As You Are: Revised and Updated,By: Emily Nagoski PhD,Length: 11 hrs and 30 mins
Beyond Possible,By: Nims Purja,Length: 9 hrs and 42 mins
Night,By: Elie Wiesel,Length: 4 hrs and 17 mins
"The Case for Christ, Revised & Updated",By: Lee Strobel,Length: 10 hrs and 49 mins
The Immortal Life of Henrietta Lacks,By: Rebecca Skloot,Length: 12 hrs and 30 mins
A Wrinkle in Time,By: Madeleine L'Engle,Length: 6 hrs and 27 mins
The Goal,"By: Eliyahu M. Goldratt, Jeff Cox",Length: 11 hrs and 45 mins
The Kite Runner,By: Khaled Hosseini,Length: 12 hrs and 1 min
The Glass Castle,By: Jeannette Walls,Length: 10 hrs and 25 mins
Homegoing,By: Yaa Gyasi,Length: 13 hrs and 11 mins
The Life-Changing Magic of Tidying Up,By: Marie Kondo,Length: 4 hrs and 50 mins
Journey of Souls,By: Michael Newton,Length: 11 hrs and 18 mins
Scythe,By: Neal Shusterman,Length: 10 hrs and 32 mins
The Measure of a Man,By: Sidney Poitier,Length: 7 hrs and 55 mins
Sharp Objects,By: Gillian Flynn,Length: 9 hrs and 34 mins
Red Queen,By: Victoria Aveyard,Length: 12 hrs and 39 mins
Wild,By: Cheryl Strayed,Length: 13 hrs and 2 mins
Howl's Moving Castle,By: Diana Wynne Jones,Length: 8 hrs and 34 mins
The Greatest Salesman in the World,By: Og Mandino,Length: 2 hrs and 33 mins
With the Old Breed,By: E. B. Sledge,Length: 13 hrs and 58 mins
Elon Musk,By: Ashlee Vance,Length: 13 hrs and 23 mins
The Warmth of Other Suns,By: Isabel Wilkerson,Length: 22 hrs and 40 mins
The Fifth Season,By: N. K. Jemisin,Length: 15 hrs and 27 mins
Getting Things Done,By: David Allen,Length: 10 hrs and 23 mins
Secrets of the Millionaire Mind,By: T. Harv Eker,Length: 5 hrs and 10 mins
The Grapes of Wrath,"By: John Steinbeck, Robert DeMott",Length: 21 hrs and 1 min
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime,By: MJ DeMarco,Length: 12 hrs and 46 mins
Gardens of the Moon,By: Steven Erikson,Length: 26 hrs and 3 mins
Autobiography of a Yogi,By: Paramahansa Yogananda,Length: 17 hrs and 50 mins
Benjamin Franklin: An American Life,By: Walter Isaacson,Length: 24 hrs and 40 mins
Leonardo da Vinci,By: Walter Isaacson,Length: 17 hrs and 1 min
Infinite Jest,By: David Foster Wallace,Length: 56 hrs and 12 mins
The Fiery Cross,By: Diana Gabaldon,Length: 55 hrs and 30 mins
The Emperor of All Maladies,By: Siddhartha Mukherjee,Length: 22 hrs and 18 mins
The Battle of the Labyrinth,By: Rick Riordan,Length: 10 hrs and 31 mins
Winter Garden,By: Kristin Hannah,Length: 14 hrs and 38 mins
Inheritance,By: Christopher Paolini,Length: 31 hrs and 17 mins
Golden Son,By: Pierce Brown,Length: 19 hrs and 3 mins
The Employees,By: Olga Ravn,Length: 2 hrs and 31 mins
Cultish,By: Amanda Montell,Length: 8 hrs and 21 mins
The Maze Runner,By: James Dashner,Length: 10 hrs and 50 mins
Fear No Evil,By: James Patterson,Length: 8 hrs and 22 mins
Nonviolent Communication,By: Marshall Rosenberg PhD,Length: 5 hrs and 9 mins
The 5 Love Languages of Children,"By: Gary Chapman, Ross Campbell",Length: 5 hrs and 48 mins
The Black Prism,By: Brent Weeks,Length: 21 hrs and 26 mins
Man's Search for Meaning,By: Viktor E. Frankl,Length: 4 hrs and 44 mins
Klara and the Sun,By: Kazuo Ishiguro,Length: 10 hrs and 16 mins
The Three-Body Problem,By: Cixin Liu,Length: 13 hrs and 26 mins
Twilight,By: Stephenie Meyer,Length: 12 hrs and 51 mins
Freaky Sights,By: Amanda M. Lee,Length: 9 hrs and 32 mins
Footwizard,By: Terry Mancour,Length: 26 hrs and 18 mins
Building a StoryBrand,By: Donald Miller,Length: 4 hrs and 56 mins
"The First 90 Days, Updated and Expanded",By: Michael Watkins,Length: 6 hrs and 58 mins
Getting to Yes,"By: Roger Fisher, William Ury",Length: 6 hrs and 17 mins
Bossypants,By: Tina Fey,Length: 5 hrs and 32 mins
The Wife Between Us,"By: Greer Hendricks, Sarah Pekkanen",Length: 11 hrs and 30 mins
Raising Men,"By: Eric Davis, Dina Santorelli - contributor",Length: 6 hrs and 41 mins
The Choice,By: Dr. Edith Eva Eger,Length: 12 hrs and 26 mins
Antifragile,By: Nassim Nicholas Taleb,Length: 16 hrs and 14 mins
Bedtime Stories for Kids,By: Anna Smith,Length: 21 hrs and 21 mins
The Starless Crown,By: James Rollins,Length: 22 hrs and 5 mins
Hauling Ashe,By: L.B. Dunbar,Length: 9 hrs and 36 mins
Laptop from Hell,By: Miranda Devine,Length: 7 hrs and 5 mins
E.A.R.L.,By: DMX,Length: 10 hrs and 30 mins
The Last Grand Duchess,By: Bryn Turnbull,Length: 10 hrs and 41 mins
Catch-22,By: Joseph Heller,Length: 19 hrs and 58 mins
Self-Compassion,By: Kristin Neff,Length: 8 hrs and 59 mins
Killers of the Flower Moon,By: David Grann,Length: 9 hrs and 4 mins
Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
"The Last Coyote: Harry Bosch Series, Book 4",By: Michael Connelly,Length: 13 hrs and 26 mins
The Case for Christianity Answer Book,By: Lee Strobel,Length: 3 hrs and 17 mins
Matrix,By: Lauren Groff,Length: 8 hrs and 51 mins
How to Change Your Mind,By: Michael Pollan,Length: 13 hrs and 35 mins
Evershore,"By: Brandon Sanderson, Janci Patterson",Length: 6 hrs and 54 mins
Anxious People,By: Fredrik Backman,Length: 9 hrs and 53 mins
Love and Respect,By: Dr. Emerson Eggerichs,Length: 8 hrs and 47 mins
Hatchet,By: Gary Paulsen,Length: 3 hrs and 42 mins
The Happiness Advantage,By: Shawn Achor,Length: 7 hrs and 19 mins
The Road Back to You,"By: Ian Morgan Cron, Suzanne Stabile",Length: 9 hrs and 17 mins
Lone Survivor,"By: Marcus Luttrell, Patrick Robinson",Length: 14 hrs and 17 mins
Matilda,By: Roald Dahl,Length: 4 hrs and 18 mins
American Sniper,"By: Chris Kyle, Scott McEwan, Jim DeFelice",Length: 10 hrs and 18 mins
The Golden Compass,By: Philip Pullman,Length: 11 hrs and 42 mins
The Operator,By: Robert O'Neill,Length: 9 hrs and 42 mins
The Farseer: Assassin's Apprentice,By: Robin Hobb,Length: 17 hrs and 18 mins
The Da Vinci Code,By: Dan Brown,Length: 16 hrs and 59 mins
Cibola Burn,By: James S. A. Corey,Length: 20 hrs and 7 mins
Breaking Dawn,By: Stephenie Meyer,Length: 20 hrs and 28 mins
Murder at the Mansions,By: Sara Rosett,Length: 6 hrs and 37 mins
Davos Man,By: Peter S. Goodman,Length: 13 hrs and 34 mins
Educated,By: Tara Westover,Length: 12 hrs and 10 mins
Beneath a Scarlet Sky,By: Mark Sullivan,Length: 17 hrs and 43 mins
Mythos,By: Stephen Fry,Length: 15 hrs and 26 mins
"The Convoluted Universe, Book 5",By: Dolores Cannon,Length: 9 hrs and 50 mins
The Enigma,By: Jodi Ellen Malpas,Length: 17 hrs and 33 mins
The Big Leap,By: Gay Hendricks,Length: 5 hrs and 27 mins
Clean Sweep [Dramatized Adaptation],By: Ilona Andrews,Length: 5 hrs and 59 mins
The Power Broker,By: Robert A. Caro,Length: 66 hrs and 9 mins
"Hook, Line, and Sinker",By: Tessa Bailey,Length: 10 hrs and 10 mins
The Shamanic Bones of Zen,By: Zenju Earthlyn Manuel,Length: 5 hrs and 12 mins
The Success Principles(TM) - 10th Anniversary Edition,"By: Jack Canfield, Janet Switzer",Length: 21 hrs and 46 mins
Labyrinth of Lies,By: Irene Hannon,Length: 10 hrs and 6 mins
Metaverse Investing for Beginners and Advanced,By: Meta Digital Academy,Length: 5 hrs and 35 mins
The Man Behind the Curtain,By: Matt Palumbo,Length: 7 hrs and 36 mins
Kitchen Confidential,By: Anthony Bourdain,Length: 8 hrs and 19 mins
A Storm of Swords,By: George R.R. Martin,Length: 47 hrs and 34 mins
Drums of Autumn,By: Diana Gabaldon,Length: 44 hrs and 50 mins
Columbus Day,By: Craig Alanson,Length: 16 hrs and 23 mins
SpecOps,By: Craig Alanson,Length: 15 hrs and 50 mins
Critical Role: Vox Machina - Kith & Kin,By: Marieke Nijkamp,Length: 15 hrs and 58 mins
Ruby Fever,By: Ilona Andrews,Length: 12 hrs and 30 mins
A People's History of the United States,By: Howard Zinn,Length: 34 hrs and 8 mins
The Hunger Games: Special Edition,By: Suzanne Collins,Length: 10 hrs and 35 mins
Blink,By: Malcolm Gladwell,Length: 7 hrs and 44 mins
Psycho-Cybernetics,By: Maxwell Maltz,Length: 12 hrs and 16 mins
The Five Love Languages: The Secret to Love That Lasts,By: Gary Chapman,Length: 4 hrs and 46 mins
Old Man's War,By: John Scalzi,Length: 9 hrs and 55 mins
Cursed Fates,"By: Caroline Peckham, Susanne Valenti",Length: 26 hrs and 17 mins
A Malevolent Connection,By: Lynn Messina,Length: 8 hrs and 38 mins
Helter Skelter,"By: Vincent Bugliosi, Curt Gentry",Length: 26 hrs and 29 mins
"Harry Potter and the Goblet of Fire, Book 4",By: J.K. Rowling,Length: 20 hrs and 37 mins
The Spanish Love Deception,By: Elena Armas,Length: 14 hrs and 32 mins
Fallout,By: Craig Alanson,Length: 22 hrs and 29 mins
"Short-Term Rental, Long-Term Wealth",By: Avery Carl,Length: 4 hrs and 31 mins
The One Year Chronological Bible NLT,By: Tyndale House Publishers,Length: 73 hrs and 52 mins
Empire of Storms,By: Sarah J. Maas,Length: 25 hrs and 18 mins
Stalin's Library,By: Geoffrey Roberts,Length: 12 hrs and 19 mins
"Sis, Don't Settle",By: Faith Jenkins,Length: 8 hrs and 20 mins
Open,By: Andre Agassi,Length: 18 hrs and 4 mins
I Can't Make This Up,"By: Neil Strauss - contributor, Kevin Hart",Length: 11 hrs and 15 mins
A Knight of the Seven Kingdoms,By: George R. R. Martin,Length: 10 hrs
No Excuses!,By: Brian Tracy,Length: 6 hrs and 51 mins
Great Expectations,By: Charles Dickens,Length: 18 hrs and 32 mins
The Mysterious Benedict Society,By: Trenton Lee Stewart,Length: 13 hrs and 16 mins
The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 19 hrs and 7 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",By: J.K. Rowling,Length: 11 hrs and 49 mins
Lord of Chaos,By: Robert Jordan,Length: 41 hrs and 32 mins
Anne Frank: The Diary of a Young Girl,By: Anne Frank,Length: 9 hrs and 55 mins
The Lean Startup,By: Eric Ries,Length: 8 hrs and 38 mins
The Hero with a Thousand Faces,By: Joseph Campbell,Length: 14 hrs and 37 mins
The Outsiders,By: S. E. Hinton,Length: 5 hrs and 8 mins
12 Rules for Life,"By: Jordan B. Peterson, Norman Doidge MD - foreword",Length: 15 hrs and 40 mins
Baden,By: Sawyer Bennett,Length: 8 hrs and 37 mins
Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
Cloud Cuckoo Land,By: Anthony Doerr,Length: 14 hrs and 52 mins
"Influence, New and Expanded",By: Robert B. Cialdini,Length: 20 hrs and 43 mins
Learn Spanish While Sleeping or in Your Car,By: Ean Peters,Length: 10 hrs and 12 mins
When You Are Mine,By: Michael Robotham,Length: 11 hrs and 42 mins
A Game of Thrones,By: George R.R. Martin,Length: 33 hrs and 46 mins
"Money, and the Law of Attraction","By: Esther Hicks, Jerry Hicks",Length: 7 hrs and 27 mins
The Book on Rental Property Investing,By: Brandon Turner,Length: 11 hrs and 38 mins
I'll Be There (But I'll Be Wearing Sweatpants),"By: Amy Weatherly, Jess Johnston",Length: 5 hrs and 19 mins
A Carnival of Snackery,By: David Sedaris,Length: 17 hrs and 8 mins
The Sinful Ways of Jamie Mackenzie,By: Jennifer Ashley,Length: 8 hrs and 53 mins
Organizing for the Rest of Us,By: Dana K. White,Length: 3 hrs and 11 mins
The State of Affairs,By: Esther Perel,Length: 11 hrs and 57 mins
Death and Glory,"By: Luke Chmilenko, Chris Harris",Length: 21 hrs and 18 mins
"Harry Potter and the Order of the Phoenix, Book 5",By: J.K. Rowling,Length: 26 hrs and 29 mins
Dark Matter,By: Blake Crouch,Length: 10 hrs and 8 mins
The Hidden Life of Trees,By: Peter Wohlleben,Length: 7 hrs and 33 mins
The Last Kingdom,By: Bernard Cornwell,Length: 13 hrs and 28 mins
Cold Days,By: Jim Butcher,Length: 18 hrs and 47 mins
A Crown of Swords,By: Robert Jordan,Length: 30 hrs and 24 mins
It Could Happen Here,By: Jonathan Greenblatt,Length: 8 hrs and 34 mins
Riggs,"By: Crystal Daniels, Sandy Alvarez",Length: 7 hrs and 33 mins
"Harry Potter and the Chamber of Secrets, Book 2",By: J.K. Rowling,Length: 9 hrs and 3 mins
Influence Is Your Superpower,By: Zoe Chance,Length: 7 hrs and 10 mins
The Diamond Eye,By: Kate Quinn,Length: 15 hrs
Wolves of the Calla,By: Stephen King,Length: 26 hrs and 20 mins
Gwendy's Final Task,"By: Stephen King, Richard Chizmar",Length: 7 hrs and 23 mins
Invasion,By: Cale Plamann,Length: 10 hrs and 59 mins
How to Do the Work,By: Dr. Nicole LePera,Length: 9 hrs and 42 mins
"Harry Potter and the Half-Blood Prince, Book 6",By: J.K. Rowling,Length: 18 hrs and 32 mins
"Harry Potter and the Deathly Hallows, Book 7",By: J.K. Rowling,Length: 21 hrs and 37 mins
The Great Alone,By: Kristin Hannah,Length: 15 hrs and 3 mins
The Dutch House,By: Ann Patchett,Length: 9 hrs and 53 mins
The Mystery of the Spirits,By: C.S. Poe,Length: 5 hrs and 42 mins
The Way of Kings,By: Brandon Sanderson,Length: 45 hrs and 30 mins
Rusty Logic,By: Robin Alexander,Length: 7 hrs and 40 mins
Life Is Messy,By: Matthew Kelly,Length: 7 hrs and 1 min
Targeted,By: Stephen Hunter,Length: 9 hrs and 34 mins
The Locked Room,By: Elly Griffiths,Length: 9 hrs and 41 mins
The Eye of the World,By: Robert Jordan,Length: 32 hrs and 55 mins
False Witness,By: Karin Slaughter,Length: 18 hrs and 39 mins
Swan Song,By: Robert R. McCammon,Length: 34 hrs and 19 mins
The Almanack of Naval Ravikant,"By: Eric Jorgenson, Tim Ferriss",Length: 4 hrs and 53 mins
The Dark Tower IV,By: Stephen King,Length: 27 hrs and 35 mins
When We Cease to Understand the World,"By: Benjamin Labatut, Adrian West - translator",Length: 5 hrs and 40 mins
Becoming Supernatural,By: Joe Dispenza,Length: 14 hrs and 6 mins
Quit Like a Woman,By: Holly Whitaker,Length: 10 hrs and 8 mins
Better than Happy,By: Jody Moore,Length: 8 hrs and 59 mins
Gods and Men,"By: Christopher Hopper, J.N. Chaney",Length: 11 hrs and 54 mins
My Money My Way,By: Kumiko Love,Length: 6 hrs and 43 mins
Sunkiller,"By: J.N. Chaney, Rick Partlow",Length: 10 hrs and 11 mins
1984,By: George Orwell,Length: 11 hrs and 22 mins
He Who Fights with Monsters: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 56 mins
Mermaid Confidential,By: Tim Dorsey,Length: 11 hrs and 3 mins
The Octopus Scientists,By: Sy Montgomery,Length: 2 hrs and 22 mins
Anatomy,By: Dana Schwartz,Length: 9 hrs and 35 mins
The Witching Hour,By: Anne Rice,Length: 50 hrs and 1 min
The Biology of Belief,By: Bruce H. Lipton PhD,Length: 10 hrs and 24 mins
Everything I Never Told You,By: Celeste Ng,Length: 10 hrs and 1 min
Midnight Eternal,"By: McKenzie Hunter, AJ Connor",Length: 15 hrs and 34 mins
Seventh Realm Part 1,By: Michael Chatfield,Length: 23 hrs and 21 mins
She Sells,By: Megan DiPiero,Length: 3 hrs and 22 mins
Cytonic,By: Brandon Sanderson,Length: 13 hrs and 15 mins
Stories I Only Tell My Friends,By: Rob Lowe,Length: 9 hrs and 10 mins
Existentially Challenged,By: Yahtzee Croshaw,Length: 9 hrs and 10 mins
Blood Drawn,By: John Conroe,Length: 8 hrs and 51 mins
The Boys,"By: Ron Howard, Clint Howard",Length: 13 hrs and 18 mins
The Method,By: Isaac Butler,Length: 14 hrs and 34 mins
A Thousand Brains,"By: Jeff Hawkins, Richard Dawkins - foreword",Length: 8 hrs and 40 mins
I Hate You - Don't Leave Me: Third Edition,"By: Jerold J. Kreisman, Hal Straus",Length: 10 hrs and 32 mins
Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
Wish You Were Here,By: Jodi Picoult,Length: 11 hrs and 47 mins
A Not So Meet Cute,By: Meghan Quinn,Length: 11 hrs and 53 mins
Insurgent,By: Veronica Roth,Length: 11 hrs and 22 mins
Magic Tree House Collection: Books 9-16,By: Mary Pope Osborne,Length: 5 hrs and 23 mins
Her Hidden Genius,By: Marie Benedict,Length: 8 hrs and 45 mins
Fuzz,By: Mary Roach,Length: 9 hrs and 17 mins
Second Foundation,By: Isaac Asimov,Length: 9 hrs and 21 mins
I Found You,By: Lisa Jewell,Length: 10 hrs and 1 min
Behind Closed Doors,By: B. A. Paris,Length: 8 hrs and 30 mins
Lifting Heavy Things,"By: Laura Khoudari, Licia Sky - foreword",Length: 7 hrs and 15 mins
Bluebird,By: Ciel Pierlot,Length: 14 hrs and 5 mins
Game On,By: Janet Evanovich,Length: 7 hrs and 3 mins
The Next Civil War,By: Stephen Marche,Length: 7 hrs and 45 mins
Black Joy,By: Tracey Michae’l Lewis-Giggetts,Length: 7 hrs and 16 mins
Gild,By: Raven Kennedy,Length: 9 hrs and 27 mins
Command and Control,"By: David Bruns, J.R. Olson",Length: 13 hrs and 39 mins
Sacred Woman,By: Queen Afua,Length: 27 hrs and 59 mins
A Breath of Snow and Ashes,By: Diana Gabaldon,Length: 57 hrs and 48 mins
Taking the Leap,By: Kristen Ashley,Length: Not Yet Known
WayMaker,By: Ann Voskamp,Length: 7 hrs and 30 mins
The Night She Disappeared,By: Lisa Jewell,Length: 11 hrs and 56 mins
Christmas Core,By: Jonathan Brooks,Length: 3 hrs and 22 mins
"Act like a Lady, Think like a Man",By: Steve Harvey,Length: 6 hrs and 5 mins
Three Sisters,By: Heather Morris,Length: 13 hrs and 6 mins
The White Rose Network,By: Ellie Midwood,Length: 9 hrs and 15 mins
Darling Venom,By: Parker S. Huntington,Length: 15 hrs and 1 min
"Fablehaven, Book 1",By: Brandon Mull,Length: 9 hrs and 13 mins
American Assassin,By: Vince Flynn,Length: 11 hrs and 44 mins
Devil House,By: John Darnielle,Length: 11 hrs and 17 mins
Converted,By: Neil Hoyne,Length: 3 hrs and 19 mins
The Love Songs of W.E.B. Du Bois,By: Honoree Fanonne Jeffers,Length: 29 hrs and 49 mins
Frog and Toad Audio Collection,By: Arnold Lobel,Length: 1 hr and 29 mins
Rationality,By: Steven Pinker,Length: 11 hrs and 19 mins
San Fransicko,By: Michael Shellenberger,Length: 11 hrs and 12 mins
A Voice in the Wind,By: Francine Rivers,Length: 21 hrs and 27 mins
The Recovery Agent,By: Janet Evanovich,Length: 7 hrs and 26 mins
Leaving Time,By: Jodi Picoult,Length: 15 hrs and 11 mins
Echo Burning,By: Lee Child,Length: 17 hrs and 34 mins
Gangsters of Capitalism,By: Jonathan M. Katz,Length: 14 hrs and 46 mins
What Happened to You?,"By: Oprah Winfrey, Bruce D. Perry",Length: 8 hrs and 27 mins
Xenocide,By: Orson Scott Card,Length: 20 hrs and 10 mins
Elantris,By: Brandon Sanderson,Length: 28 hrs and 42 mins
November 9,By: Colleen Hoover,Length: 9 hrs and 46 mins
Star Wars: Darth Plagueis,By: James Luceno,Length: 14 hrs and 45 mins
The Simple Path to Wealth,By: JL Collins,Length: 6 hrs and 38 mins
The Last House on Needless Street,By: Catriona Ward,Length: 12 hrs
These Precious Days,By: Ann Patchett,Length: 11 hrs and 14 mins
Shards of Earth,By: Adrian Tchaikovsky,Length: 18 hrs and 43 mins
The Richest Man in Babylon,By: George S. Clason,Length: 4 hrs and 4 mins
Crazy Faith,By: Michael Todd,Length: 5 hrs and 50 mins
Magicians of the Gods,By: Graham Hancock,Length: 14 hrs and 53 mins
The Complete Guide to Fasting,"By: Jimmy Moore, Dr. Jason Fung",Length: 7 hrs and 36 mins
Ordinary Grace,By: William Kent Krueger,Length: 10 hrs and 59 mins
State of Terror,"By: Louise Penny, Hillary Rodham Clinton",Length: 15 hrs and 41 mins
Adult Children of Emotionally Immature Parents,By: Lindsay C. Gibson PsyD,Length: 6 hrs and 50 mins
Wild at Heart,By: John Eldredge,Length: 8 hrs and 20 mins
The Perfect Run,"By: Maxime J. Durand, Void Herald",Length: 17 hrs and 58 mins
